OrderID,OrderDate,Region,Segment,Category,SubCategory,Product,Quantity,UnitPrice,Discount,Sales,Profit,CustomerSegment
ORD1000,2023-04-13,North,Consumer,Office Supplies,Art,Markers Set,4,1426.56,0.1,5135.62,1202.84,Corporate
ORD1001,2023-05-02,South,Consumer,Office Supplies,Paper,Photo Paper,3,158.96,0.1,429.19,112.04,Education
ORD1002,2023-03-29,North,Consumer,Technology,Accessories,Wireless Mouse,5,905.66,0.1,4075.47,676.18,Consumer
ORD1003,2023-07-11,South,Education,Technology,Printers,All-in-One 700,4,283.27,0.15,963.12,189.04,Home Office
ORD1004,2023-11-10,North,Corporate,Office Supplies,Appliances,Lamination Machine,6,20.53,0.0,123.18,30.12,Home Office
ORD1005,2023-06-19,South,Corporate,Furniture,Chairs,Ergo Chair,4,1460.9,0.1,5259.24,390.68,Education
ORD1006,2023-12-30,North,Home Office,Furniture,Bookcases,3-Shelf Bookcase,4,892.7,0.1,3213.72,425.85,Education
ORD1007,2023-11-25,North,Education,Technology,Laptops,Gaming 16,2,1423.84,0.15,2420.53,496.15,Corporate
ORD1008,2023-01-14,North,Consumer,Office Supplies,Binders,3-Ring Binder,2,584.27,0.05,1110.11,253.92,Consumer
ORD1009,2023-09-21,South,Consumer,Furniture,Bookcases,5-Shelf Bookcase,3,1364.89,0.15,3480.47,351.3,Home Office
ORD1010,2023-02-19,South,Home Office,Furniture,Tables,Meeting Table,4,474.45,0.05,1802.91,191.39,Home Office
ORD1011,2023-08-06,North,Corporate,Office Supplies,Binders,2-Ring Binder,4,1409.85,0.15,4793.49,1064.15,Education
ORD1012,2023-09-27,West,Home Office,Office Supplies,Binders,3-Ring Binder,6,302.01,0.0,1812.06,412.98,Consumer
ORD1013,2023-10-07,South,Consumer,Furniture,Storage,Steel Cabinet,2,1448.23,0.15,2461.99,416.7,Consumer
ORD1014,2023-02-10,South,Home Office,Technology,Printers,LaserJet 500,5,1205.27,0.0,6026.35,1076.87,Education
ORD1015,2023-05-09,South,Home Office,Technology,Accessories,Keyboard,4,447.3,0.1,1610.28,276.55,Education
ORD1016,2023-03-22,West,Home Office,Technology,Accessories,Charger,3,1187.36,0.1,3205.87,557.13,Consumer
ORD1017,2023-02-10,North,Consumer,Technology,Accessories,Charger,4,1296.02,0.15,4406.47,710.74,Consumer
ORD1018,2023-02-02,West,Education,Office Supplies,Appliances,Label Maker,6,494.52,0.1,2670.41,461.38,Home Office
ORD1019,2023-02-04,North,Consumer,Office Supplies,Art,Sketch Pad,1,580.56,0.1,522.5,124.95,Home Office
ORD1020,2023-09-14,North,Home Office,Furniture,Tables,Office Desk,5,846.3,0.1,3808.35,157.69,Consumer
ORD1021,2023-02-11,East,Corporate,Office Supplies,Paper,Photo Paper,4,170.76,0.0,683.04,167.11,Home Office
ORD1022,2023-02-21,South,Corporate,Furniture,Tables,Meeting Table,5,767.77,0.2,3071.08,319.29,Consumer
ORD1023,2023-06-20,East,Education,Technology,Phones,Galaxy S22,5,350.91,0.1,1579.1,213.41,Home Office
ORD1024,2023-08-31,South,Consumer,Technology,Phones,XPhone Mini,6,1321.9,0.05,7534.83,1469.62,Education
ORD1025,2023-05-14,North,Corporate,Technology,Printers,All-in-One 700,4,1207.47,0.15,4105.4,881.62,Corporate
ORD1026,2023-12-06,East,Education,Technology,Accessories,Keyboard,6,1326.09,0.05,7558.71,1286.28,Education
ORD1027,2023-07-09,East,Education,Office Supplies,Appliances,Shredder,1,415.48,0.1,373.93,72.6,Corporate
ORD1028,2023-05-01,South,Consumer,Furniture,Chairs,Task Chair,4,535.33,0.1,1927.19,231.56,Corporate
ORD1029,2023-05-17,South,Consumer,Technology,Phones,XPhone Pro,6,340.94,0.1,1841.08,318.44,Consumer
ORD1030,2023-08-22,North,Home Office,Technology,Accessories,Keyboard,4,373.75,0.1,1345.5,250.87,Education
ORD1031,2023-08-21,South,Corporate,Office Supplies,Appliances,Shredder,4,551.81,0.0,2207.24,351.68,Education
ORD1032,2023-02-21,West,Corporate,Technology,Phones,Pixel 7,4,385.16,0.05,1463.61,230.15,Home Office
ORD1033,2023-03-22,West,Education,Furniture,Chairs,Task Chair,3,918.25,0.05,2617.01,349.95,Consumer
ORD1034,2023-08-08,North,Education,Office Supplies,Art,Markers Set,6,59.25,0.0,355.5,93.5,Corporate
ORD1035,2023-02-22,South,Corporate,Office Supplies,Appliances,Shredder,4,677.2,0.15,2302.48,580.16,Education
ORD1036,2023-07-22,South,Home Office,Furniture,Tables,Standing Desk,3,370.82,0.2,889.97,144.31,Education
ORD1037,2023-08-28,North,Consumer,Office Supplies,Paper,A4 Paper,1,234.57,0.1,211.11,55.26,Corporate
ORD1038,2023-11-22,South,Education,Furniture,Storage,Mobile Drawer,5,1288.95,0.15,5478.04,402.53,Education
ORD1039,2023-12-18,North,Corporate,Furniture,Chairs,Executive Chair,4,1411.38,0.05,5363.24,654.62,Home Office
ORD1040,2023-12-26,West,Home Office,Furniture,Storage,Mobile Drawer,1,1016.78,0.0,1016.78,111.13,Corporate
ORD1041,2023-09-09,East,Corporate,Technology,Phones,Galaxy S22,2,1473.43,0.15,2504.83,492.66,Consumer
ORD1042,2023-03-01,North,Education,Office Supplies,Binders,2-Ring Binder,1,370.36,0.15,314.81,78.71,Consumer
ORD1043,2023-01-09,South,Consumer,Office Supplies,Paper,Photo Paper,1,530.32,0.1,477.29,107.19,Corporate
ORD1044,2023-06-01,West,Consumer,Office Supplies,Binders,2-Ring Binder,6,1172.01,0.15,5977.25,1355.57,Consumer
ORD1045,2023-08-15,West,Home Office,Furniture,Tables,Meeting Table,6,1410.8,0.0,8464.8,1230.97,Home Office
ORD1046,2023-12-15,South,Home Office,Furniture,Tables,Meeting Table,2,249.6,0.05,474.24,15.94,Home Office
ORD1047,2023-06-18,West,Home Office,Technology,Phones,Pixel 7,4,1071.15,0.0,4284.6,667.99,Consumer
